cell_id,city,lat,lon,distance_to_cbd_km_x,avg_price,price_std,transaction_count,avg_price_per_m2,avg_area_m2,first_year,last_year,price_trend,annualized_valuation,avg_travel_time_cbd_min,traffic_index,peak_hour_speed_kmh,transit_stops_count,walkability_score,connectivity_index,ndvi_mean,ndvi_std,built_up_index,green_space_ratio,night_lights_intensity,land_use_mix,hospitals_count,schools_count,supermarkets_count,parks_count,banks_count,restaurants_count,distance_to_cbd_km_y,nearest_hospital_km,nearest_school_km,nearest_park_km,population_density,median_income_usd,education_level,employment_rate,internet_penetration,crime_index,gini_coefficient,accessibility_score,service_density,ndvi,noise_proxy,valuation_trend
896a3b202844098e,Quito,-0.138101,-78.573998,12.467,119521.31,77331.89,218,925.77,217.3,2019,2024,0.126523,0.086874,30.8,4.0,60.0,5,19.9,36.6,0.4146,0.1158,0.2391,0.8361,8.82,0.475,1,4,1,6,0,8,12.467,0.26,0.07,0.119,2093.1,1120.51,13.35,0.8752,0.7287,39.7,0.4555,32.21,20.0,0.4146,32.23,0.126523
888df8f602b97e89,Quito,-0.076813,-78.375944,15.525,109571.26,62954.75,223,928.85,201.9,2019,2024,0.05631,0.046901,39.6,8.3,60.0,2,12.3,29.8,0.4033,0.0685,0.062,1.0,23.93,0.2661,0,3,1,2,0,7,15.525,6.118,0.113,0.14,1155.5,1081.91,12.83,0.9131,0.8341,41.5,0.4392,19.17,13.0,0.4033,25.98,0.05631
858ae4a921d54fd7,Quito,-0.448267,-78.600218,33.158,72632.33,42084.74,204,602.8,184.8,2019,2024,0.066486,0.079889,79.4,0.0,57.3,3,7.0,8.2,0.5137,0.0509,0.0223,0.8883,18.12,0.0915,0,1,0,4,0,0,33.158,11.208,0.394,0.336,378.0,1494.06,10.81,0.8905,0.7952,37.1,0.4522,13.22,5.0,0.5137,2.14,0.066486
8d71604967ed7363,Quito,-0.162422,-78.501624,4.023,116832.45,63076.22,21,1022.81,135.7,2019,2024,0.011532,0.031546,10.9,47.2,45.0,9,64.0,57.6,0.3078,0.1826,0.5498,0.4419,43.48,0.5968,2,2,3,2,3,17,4.023,0.06,0.091,0.375,6281.2,1341.31,14.31,0.9522,0.972,44.8,0.5296,66.77,29.0,0.3078,82.4,0.011532
8973a7360e21ac03,Quito,-0.18231,-78.555304,9.489,136153.76,61143.86,9,1212.21,134.1,2019,2023,0.299164,0.283649,23.5,20.2,50.8,3,36.9,43.6,0.3275,0.1217,0.2456,0.6594,25.2,0.4258,0,2,2,3,0,11,9.489,3.491,0.188,0.311,2239.9,1226.18,12.72,0.9202,0.7724,45.7,0.4891,35.8,18.0,0.3275,45.61,0.299164
8fe41220626d51ab,Quito,-0.059083,-78.392221,15.987,110057.37,66358.41,127,986.5,187.5,2019,2024,0.074228,0.074215,34.0,4.7,55.8,1,28.7,18.5,0.4015,0.1262,0.1243,0.9408,10.07,0.3094,0,5,1,1,0,2,15.987,6.095,0.127,0.466,1525.3,1010.69,12.13,0.9159,0.8192,39.5,0.4854,19.68,9.0,0.4015,14.97,0.074228
83bb03c200b56681,Quito,-0.170921,-78.357276,12.575,119369.2,64103.65,120,1009.62,187.2,2019,2024,0.037952,0.046233,33.1,0.0,58.7,4,22.4,36.2,0.4028,0.0788,0.2288,0.8068,21.06,0.4092,0,2,3,5,0,5,12.575,5.014,0.099,0.353,1873.8,1106.5,10.94,0.9077,0.7696,33.5,0.4568,30.44,15.0,0.4028,22.52,0.037952
85f64ca0bc616e5e,Quito,-0.115717,-78.555929,11.933,124351.03,74022.02,288,1050.87,191.0,2019,2024,0.132619,0.101661,28.1,3.2,53.9,1,28.3,36.9,0.3265,0.1373,0.2365,0.5902,14.9,0.4333,0,3,1,1,0,8,11.933,3.956,0.246,0.497,3199.7,1153.02,10.8,0.908,0.8051,43.6,0.4864,25.04,13.0,0.3265,38.23,0.132619
8a4edd45e0c6eee5,Quito,-0.129297,-78.565888,12.061,104215.4,61210.15,8,748.3,386.5,2019,2024,0.07223,-0.003398,27.7,14.4,55.3,3,24.3,25.2,0.431,0.1681,0.247,0.7814,15.25,0.4339,2,5,0,4,1,7,12.061,0.115,0.056,0.153,2600.2,1685.49,12.27,0.889,0.7395,31.5,0.4799,25.24,19.0,0.431,36.19,0.07223
80afc424b91f5423,Quito,-0.059213,-78.474993,13.442,116461.94,70016.74,94,843.59,216.6,2019,2024,0.040534,0.000617,33.7,6.9,56.6,2,22.8,26.5,0.4787,0.0752,0.2522,0.7222,29.45,0.4261,0,2,2,4,1,6,13.442,5.277,0.335,0.098,1711.6,984.58,12.45,0.9259,0.7728,42.0,0.4451,22.38,15.0,0.4787,26.28,0.040534
8ff0cd7f6e209648,Quito,-0.205419,-78.538093,8.082,315519.76,0.0,1,1024.41,308.0,2023,2023,0.0,0.0,19.2,10.3,49.1,9,33.5,42.5,0.3531,0.1458,0.4133,0.5117,37.52,0.5221,0,7,1,5,1,9,8.082,3.735,0.116,0.421,3279.8,1964.12,12.6,0.9387,0.8488,45.4,0.4949,50.04,23.0,0.3531,43.44,0.0
820b14486faca8e1,Quito,-0.011901,-78.485453,18.771,109239.67,70410.0,102,727.3,257.5,2019,2024,0.133318,0.124791,47.6,0.0,60.0,1,3.7,19.4,0.49,0.1966,0.1301,1.0,13.94,0.2774,0,0,1,2,0,1,18.771,6.022,6.936,0.356,639.6,946.1,10.07,0.8808,0.6984,29.4,0.477,9.95,4.0,0.49,6.0,0.133318
8a0b22bae27a1dac,Quito,-0.238895,-78.505213,7.63,124648.91,76333.18,156,1086.69,184.8,2019,2024,0.12646,0.117126,16.7,27.3,46.4,4,51.5,51.2,0.3379,0.1304,0.3689,0.6365,41.16,0.5717,1,4,1,2,1,12,7.63,0.291,0.281,0.436,3096.2,1296.98,12.8,0.9537,0.7819,40.6,0.4519,46.58,21.0,0.3379,55.21,0.12646
8f360310408edeba,Quito,-0.106807,-78.433456,9.097,129691.47,86426.94,31,912.93,276.0,2019,2024,0.196573,0.181001,22.9,32.1,39.2,5,25.9,35.0,0.3182,0.0571,0.3352,0.6818,21.06,0.5302,0,3,2,2,0,14,9.097,4.21,0.437,0.109,2794.9,951.07,13.34,0.9421,0.7869,29.3,0.4703,34.13,21.0,0.3182,59.86,0.196573
844b0bb4128f8ed6,Quito,-0.123249,-78.426918,7.923,116416.05,55484.83,109,1025.71,178.7,2019,2024,0.031134,0.035231,20.0,31.1,52.4,7,39.8,51.5,0.2979,0.0671,0.2585,0.79,19.47,0.5634,1,3,6,2,0,11,7.923,0.346,0.238,0.398,3232.9,1160.1,14.7,0.9339,0.7749,43.4,0.4833,49.95,23.0,0.2979,54.87,0.031134
8ab1c0f793b2b912,Quito,0.1,-78.510642,31.461,78908.29,37460.75,18,559.05,241.8,2019,2024,-0.071071,-0.071428,76.0,0.0,55.9,0,0.5,6.5,0.4824,0.1789,0.0596,0.9227,8.89,0.1574,0,0,1,3,0,1,31.461,10.39,10.979,0.299,1194.4,914.94,12.52,0.8808,0.7042,30.7,0.4533,2.15,5.0,0.4824,9.15,-0.071071
863594b6f5b45391,Quito,-0.250433,-78.551377,11.967,109997.04,39750.48,6,891.15,132.8,2019,2023,-0.039763,-0.042382,34.0,14.3,56.8,2,22.1,45.4,0.4009,0.1959,0.2071,0.7719,25.15,0.3961,2,4,2,2,0,7,11.967,0.499,0.446,0.178,892.0,1033.26,11.01,0.8943,0.8125,45.6,0.5249,27.77,17.0,0.4009,26.48,-0.039763
89a8d5607893e138,Quito,-0.095303,-78.357103,15.694,132805.35,81490.86,20,949.91,204.6,2019,2024,0.004262,-0.079649,35.2,14.3,49.2,3,14.2,26.9,0.4717,0.1513,0.0771,0.8287,21.21,0.2658,1,3,1,3,1,1,15.694,0.073,0.323,0.411,3470.9,892.61,9.91,0.9171,0.7363,34.4,0.4466,21.71,10.0,0.4717,26.8,0.004262
80d08aed7604a749,Quito,-0.195668,-78.554016,9.503,133031.26,79453.79,84,931.03,234.4,2019,2024,0.04334,0.013447,21.4,9.4,50.2,9,45.5,40.8,0.4219,0.1618,0.2846,0.7099,38.46,0.4677,0,5,1,1,1,9,9.503,4.199,0.069,0.448,2772.1,1128.61,12.68,0.9162,0.7298,36.6,0.4652,54.33,17.0,0.4219,40.26,0.04334
82e6734fdac68b9d,Quito,-0.293366,-78.404941,14.534,115377.99,77619.71,44,874.12,173.8,2019,2024,0.030203,0.057095,31.2,0.0,60.0,2,31.3,19.9,0.3702,0.1624,0.1468,0.7383,7.69,0.3983,0,1,0,5,1,6,14.534,5.466,0.104,0.11,2770.7,1107.24,11.66,0.8888,0.7343,32.2,0.5289,23.8,13.0,0.3702,29.98,0.030203
8953a9b58b8d6117,Quito,-0.077803,-78.415685,12.869,126191.63,70452.44,108,1087.04,177.5,2019,2024,0.09992,0.095488,28.2,16.8,50.0,2,34.7,30.9,0.4218,0.1732,0.1447,0.8269,27.73,0.3533,0,3,1,3,0,7,12.869,5.499,0.297,0.244,1084.1,947.47,13.29,0.9216,0.7836,38.2,0.4454,28.46,14.0,0.4218,28.41,0.09992
807b3db16f7a4451,Quito,-0.271508,-78.446784,10.498,135220.92,79302.96,16,873.52,223.2,2019,2024,0.013732,-0.018057,27.1,0.2,59.7,6,28.1,34.7,0.4233,0.1344,0.3225,0.5697,19.41,0.458,1,7,2,2,0,4,10.498,0.422,0.435,0.218,2841.8,1523.32,12.86,0.9476,0.8144,38.8,0.474,37.58,16.0,0.4233,25.68,0.013732
82e0aec4384893df,Quito,-0.163956,-78.448131,3.016,133215.52,74615.84,163,1170.47,182.9,2019,2024,0.091053,0.080855,10.2,55.2,37.8,12,67.2,68.1,0.2321,0.1326,0.6522,0.2309,63.19,0.7205,1,9,0,2,3,10,3.016,0.227,0.086,0.39,8678.1,1311.86,15.25,0.9536,0.9539,51.8,0.4991,77.31,25.0,0.2321,75.54,0.091053
8fb87cf96c9c700b,Quito,-0.060179,-78.44764,13.554,114602.52,75610.49,106,976.38,174.2,2019,2024,0.177374,0.146072,40.1,25.5,43.8,3,31.6,24.4,0.4499,0.1612,0.1919,0.8431,11.97,0.3755,0,2,1,3,0,5,13.553,5.663,0.076,0.215,476.7,1741.08,11.89,0.9425,0.7323,31.1,0.4843,27.92,11.0,0.4499,23.1,0.177374
836f5b5e14ba9744,Quito,-0.086649,-78.463242,10.407,135276.99,77907.21,55,964.53,209.8,2019,2024,0.023832,0.058784,23.0,0.0,59.3,7,21.5,49.7,0.2509,0.0927,0.1982,0.7632,27.61,0.4515,1,8,2,4,0,5,10.407,0.175,0.366,0.335,2203.2,1073.83,13.03,0.9442,0.8115,45.0,0.404,42.09,20.0,0.2509,24.38,0.023832
8ab9985fb3cfa455,Quito,-0.140246,-78.406871,8.295,152155.82,83671.24,32,932.08,291.2,2019,2024,-0.011774,0.018701,16.0,14.3,60.0,3,51.4,37.9,0.3331,0.0552,0.2828,0.7525,40.53,0.5255,2,8,4,3,0,12,8.295,0.218,0.072,0.099,3418.7,1024.77,12.16,0.9316,0.8688,31.0,0.4739,39.89,29.0,0.3331,52.7,-0.011774
85b057ea969496e6,Quito,-0.380359,-78.501967,22.561,92560.93,51702.29,45,823.1,170.3,2019,2024,-0.003091,-0.053171,53.4,8.9,57.3,0,8.5,5.7,0.4784,0.0986,0.1752,0.7654,19.31,0.2208,0,5,0,2,0,1,22.561,7.751,0.453,0.352,200.0,1021.51,12.02,0.9345,0.7452,31.9,0.4583,5.11,8.0,0.4784,6.48,-0.003091
