cell_id,city,lat,lon,avg_travel_time_cbd_min,traffic_index,peak_hour_speed_kmh,transit_stops_count,walkability_score,connectivity_index
896a3b202844098e,Quito,-0.138101,-78.573998,30.8,4.0,60.0,5,19.9,36.6
888df8f602b97e89,Quito,-0.076813,-78.375944,39.6,8.3,60.0,2,12.3,29.8
858ae4a921d54fd7,Quito,-0.448267,-78.600218,79.4,0.0,57.3,3,7.0,8.2
8d71604967ed7363,Quito,-0.162422,-78.501624,10.9,47.2,45.0,9,64.0,57.6
8973a7360e21ac03,Quito,-0.18231,-78.555304,23.5,20.2,50.8,3,36.9,43.6
8fe41220626d51ab,Quito,-0.059083,-78.392221,34.0,4.7,55.8,1,28.7,18.5
83bb03c200b56681,Quito,-0.170921,-78.357276,33.1,0.0,58.7,4,22.4,36.2
85f64ca0bc616e5e,Quito,-0.115717,-78.555929,28.1,3.2,53.9,1,28.3,36.9
8a4edd45e0c6eee5,Quito,-0.129297,-78.565888,27.7,14.4,55.3,3,24.3,25.2
80afc424b91f5423,Quito,-0.059213,-78.474993,33.7,6.9,56.6,2,22.8,26.5
8ff0cd7f6e209648,Quito,-0.205419,-78.538093,19.2,10.3,49.1,9,33.5,42.5
820b14486faca8e1,Quito,-0.011901,-78.485453,47.6,0.0,60.0,1,3.7,19.4
8a0b22bae27a1dac,Quito,-0.238895,-78.505213,16.7,27.3,46.4,4,51.5,51.2
8f360310408edeba,Quito,-0.106807,-78.433456,22.9,32.1,39.2,5,25.9,35.0
844b0bb4128f8ed6,Quito,-0.123249,-78.426918,20.0,31.1,52.4,7,39.8,51.5
8ab1c0f793b2b912,Quito,0.1,-78.510642,76.0,0.0,55.9,0,0.5,6.5
863594b6f5b45391,Quito,-0.250433,-78.551377,34.0,14.3,56.8,2,22.1,45.4
89a8d5607893e138,Quito,-0.095303,-78.357103,35.2,14.3,49.2,3,14.2,26.9
80d08aed7604a749,Quito,-0.195668,-78.554016,21.4,9.4,50.2,9,45.5,40.8
82e6734fdac68b9d,Quito,-0.293366,-78.404941,31.2,0.0,60.0,2,31.3,19.9
8953a9b58b8d6117,Quito,-0.077803,-78.415685,28.2,16.8,50.0,2,34.7,30.9
807b3db16f7a4451,Quito,-0.271508,-78.446784,27.1,0.2,59.7,6,28.1,34.7
82e0aec4384893df,Quito,-0.163956,-78.448131,10.2,55.2,37.8,12,67.2,68.1
8fb87cf96c9c700b,Quito,-0.060179,-78.44764,40.1,25.5,43.8,3,31.6,24.4
836f5b5e14ba9744,Quito,-0.086649,-78.463242,23.0,0.0,59.3,7,21.5,49.7
8ab9985fb3cfa455,Quito,-0.140246,-78.406871,16.0,14.3,60.0,3,51.4,37.9
85b057ea969496e6,Quito,-0.380359,-78.501967,53.4,8.9,57.3,0,8.5,5.7
896bcf7266886fa4,Quito,-0.244676,-78.533888,23.5,15.4,53.2,3,35.2,38.2
8bb70df7e5f195f0,Quito,-0.217832,-78.320506,41.2,0.3,60.0,1,30.9,31.0
88811249ab058255,Quito,-0.299052,-78.373172,42.1,0.1,55.5,1,19.7,11.2
8fb7dda51889a9c9,Guayaquil,-2.3,-79.949302,38.3,12.3,49.4,4,18.7,26.9
8b28b220ea2b9458,Guayaquil,-2.155759,-79.868706,18.6,12.4,52.8,6,55.9,51.0
86dba9ae8165eb4d,Guayaquil,-2.107768,-79.850582,24.7,8.5,54.4,9,27.0,43.0
8903fe86c450edbe,Guayaquil,-2.200513,-79.960456,10.0,40.6,38.9,5,43.0,51.1
821110b4a65de73b,Guayaquil,-2.094927,-79.936739,25.1,27.3,43.6,5,46.4,46.5
8a4379d17cbe53ae,Guayaquil,-2.281623,-80.019163,33.0,9.1,55.8,4,6.0,31.4
83ee4638d9dc3815,Guayaquil,-2.250452,-79.876498,25.5,24.2,45.6,6,31.5,40.0
86c2c74d56df9d1a,Guayaquil,-2.157538,-79.859583,19.5,20.1,49.4,12,56.6,46.4
80e7618582030f12,Guayaquil,-2.207385,-79.906128,11.0,51.6,27.8,11,58.7,64.2
8c027b7366e64d8e,Guayaquil,-2.115261,-79.947068,17.0,33.1,40.6,5,44.8,54.4
867df4de09929766,Guayaquil,-2.130032,-79.977919,12.8,14.4,46.9,7,35.8,53.6
8267c8b7bf35cb3e,Guayaquil,-2.201767,-79.953402,12.6,30.4,42.4,8,53.0,45.4
800f580865aed227,Guayaquil,-2.274636,-79.87739,32.9,7.3,54.2,5,34.9,29.1
84af267540e61b17,Guayaquil,-2.211073,-79.918907,6.5,48.9,34.2,7,64.5,53.9
85b5bc02486fa4e0,Guayaquil,-2.127935,-79.880929,16.3,30.5,46.0,4,45.5,62.6
807d3e4c704fa43e,Guayaquil,-2.111779,-79.928617,19.0,22.3,50.3,13,45.6,45.7
8408ae4ba7d43de1,Guayaquil,-2.207039,-79.926975,11.3,35.9,44.7,7,45.3,51.8
8c9e3419ee17b18f,Guayaquil,-2.3,-80.046622,52.5,11.0,51.6,0,0.0,13.7
8cc9f0d73afcb163,Guayaquil,-2.285736,-80.007259,45.9,10.6,52.5,4,23.5,25.5
8164257baf4717da,Guayaquil,-2.13502,-79.999229,25.1,13.4,56.9,7,35.3,40.9
8f43487efc1afee7,Guayaquil,-2.203089,-79.806318,36.3,8.2,52.1,1,13.2,33.5
8bbaedefc492a799,Guayaquil,-2.201173,-79.855467,17.5,33.4,33.7,7,33.5,49.2
833dbb4a03912322,Guayaquil,-2.251692,-79.937976,24.3,22.9,50.8,9,35.0,42.4
886048306b329ca1,Guayaquil,-2.253127,-79.949665,23.7,12.2,57.5,1,29.2,42.1
863b545c4a1c5d19,Guayaquil,-2.096473,-80.071141,45.4,0.0,59.7,1,15.2,10.3
