cell_id,city,lat,lon,hospitals_count,schools_count,supermarkets_count,parks_count,banks_count,restaurants_count,distance_to_cbd_km,nearest_hospital_km,nearest_school_km,nearest_park_km
896a3b202844098e,Quito,-0.138101,-78.573998,0,4,0,3,0,4,12.467,5.373,0.349,0.233
888df8f602b97e89,Quito,-0.076813,-78.375944,1,0,0,4,0,4,15.525,0.089,5.158,0.483
858ae4a921d54fd7,Quito,-0.448267,-78.600218,0,1,1,3,0,0,33.158,10.592,0.188,0.311
8d71604967ed7363,Quito,-0.162422,-78.501624,0,8,1,1,0,14,4.023,3.08,0.311,0.206
8973a7360e21ac03,Quito,-0.18231,-78.555304,1,4,3,3,0,10,9.489,0.462,0.154,0.067
8fe41220626d51ab,Quito,-0.059083,-78.392221,0,3,1,3,0,10,15.987,5.257,0.386,0.168
83bb03c200b56681,Quito,-0.170921,-78.357276,1,2,0,3,2,1,12.575,0.153,0.109,0.355
85f64ca0bc616e5e,Quito,-0.115717,-78.555929,0,3,3,3,0,5,11.933,4.958,0.098,0.113
8a4edd45e0c6eee5,Quito,-0.129297,-78.565888,0,6,0,6,0,6,12.061,5.187,0.417,0.097
80afc424b91f5423,Quito,-0.059213,-78.474993,0,3,0,3,0,1,13.442,4.63,0.074,0.316
8ff0cd7f6e209648,Quito,-0.205419,-78.538093,1,4,1,3,0,9,8.082,0.401,0.339,0.401
820b14486faca8e1,Quito,-0.011901,-78.485453,0,3,0,3,0,2,18.771,6.488,0.221,0.359
8a0b22bae27a1dac,Quito,-0.238895,-78.505213,0,9,2,3,0,12,7.63,3.637,0.127,0.304
8f360310408edeba,Quito,-0.106807,-78.433456,1,6,0,2,2,8,9.097,0.222,0.378,0.299
844b0bb4128f8ed6,Quito,-0.123249,-78.426918,2,7,2,4,0,11,7.923,0.454,0.063,0.158
8ab1c0f793b2b912,Quito,0.1,-78.510642,0,1,1,1,0,2,31.461,11.182,0.076,0.41
863594b6f5b45391,Quito,-0.250433,-78.551377,2,1,0,3,1,6,11.967,0.327,0.069,0.448
89a8d5607893e138,Quito,-0.095303,-78.357103,0,1,0,5,1,6,15.694,5.814,0.104,0.11
80d08aed7604a749,Quito,-0.195668,-78.554016,0,4,1,2,0,11,9.503,3.764,0.281,0.382
82e6734fdac68b9d,Quito,-0.293366,-78.404941,2,4,0,2,0,4,14.534,0.422,0.435,0.218
8953a9b58b8d6117,Quito,-0.077803,-78.415685,0,2,3,4,0,8,12.869,4.923,0.227,0.086
807b3db16f7a4451,Quito,-0.271508,-78.446784,1,2,1,2,1,7,10.498,0.215,0.293,0.202
82e0aec4384893df,Quito,-0.163956,-78.448131,4,7,4,0,3,17,3.016,0.492,0.329,2.017
8fb87cf96c9c700b,Quito,-0.060179,-78.44764,2,4,1,7,0,7,13.554,0.3,0.411,0.466
836f5b5e14ba9744,Quito,-0.086649,-78.463242,1,1,0,6,0,4,10.407,0.063,0.231,0.453
