cell_id,city,lat,lon,population_density,median_income_usd,education_level,employment_rate,internet_penetration,crime_index,gini_coefficient
896a3b202844098e,Quito,-0.138101,-78.573998,2093.1,1120.51,13.35,0.8752,0.7287,39.7,0.4555
888df8f602b97e89,Quito,-0.076813,-78.375944,1155.5,1081.91,12.83,0.9131,0.8341,41.5,0.4392
858ae4a921d54fd7,Quito,-0.448267,-78.600218,378.0,1494.06,10.81,0.8905,0.7952,37.1,0.4522
8d71604967ed7363,Quito,-0.162422,-78.501624,6281.2,1341.31,14.31,0.9522,0.972,44.8,0.5296
8973a7360e21ac03,Quito,-0.18231,-78.555304,2239.9,1226.18,12.72,0.9202,0.7724,45.7,0.4891
8fe41220626d51ab,Quito,-0.059083,-78.392221,1525.3,1010.69,12.13,0.9159,0.8192,39.5,0.4854
83bb03c200b56681,Quito,-0.170921,-78.357276,1873.8,1106.5,10.94,0.9077,0.7696,33.5,0.4568
85f64ca0bc616e5e,Quito,-0.115717,-78.555929,3199.7,1153.02,10.8,0.908,0.8051,43.6,0.4864
8a4edd45e0c6eee5,Quito,-0.129297,-78.565888,2600.2,1685.49,12.27,0.889,0.7395,31.5,0.4799
80afc424b91f5423,Quito,-0.059213,-78.474993,1711.6,984.58,12.45,0.9259,0.7728,42.0,0.4451
8ff0cd7f6e209648,Quito,-0.205419,-78.538093,3279.8,1964.12,12.6,0.9387,0.8488,45.4,0.4949
820b14486faca8e1,Quito,-0.011901,-78.485453,639.6,946.1,10.07,0.8808,0.6984,29.4,0.477
8a0b22bae27a1dac,Quito,-0.238895,-78.505213,3096.2,1296.98,12.8,0.9537,0.7819,40.6,0.4519
8f360310408edeba,Quito,-0.106807,-78.433456,2794.9,951.07,13.34,0.9421,0.7869,29.3,0.4703
844b0bb4128f8ed6,Quito,-0.123249,-78.426918,3232.9,1160.1,14.7,0.9339,0.7749,43.4,0.4833
8ab1c0f793b2b912,Quito,0.1,-78.510642,1194.4,914.94,12.52,0.8808,0.7042,30.7,0.4533
863594b6f5b45391,Quito,-0.250433,-78.551377,892.0,1033.26,11.01,0.8943,0.8125,45.6,0.5249
89a8d5607893e138,Quito,-0.095303,-78.357103,3470.9,892.61,9.91,0.9171,0.7363,34.4,0.4466
80d08aed7604a749,Quito,-0.195668,-78.554016,2772.1,1128.61,12.68,0.9162,0.7298,36.6,0.4652
82e6734fdac68b9d,Quito,-0.293366,-78.404941,2770.7,1107.24,11.66,0.8888,0.7343,32.2,0.5289
8953a9b58b8d6117,Quito,-0.077803,-78.415685,1084.1,947.47,13.29,0.9216,0.7836,38.2,0.4454
807b3db16f7a4451,Quito,-0.271508,-78.446784,2841.8,1523.32,12.86,0.9476,0.8144,38.8,0.474
82e0aec4384893df,Quito,-0.163956,-78.448131,8678.1,1311.86,15.25,0.9536,0.9539,51.8,0.4991
8fb87cf96c9c700b,Quito,-0.060179,-78.44764,476.7,1741.08,11.89,0.9425,0.7323,31.1,0.4843
836f5b5e14ba9744,Quito,-0.086649,-78.463242,2203.2,1073.83,13.03,0.9442,0.8115,45.0,0.404
8ab9985fb3cfa455,Quito,-0.140246,-78.406871,3418.7,1024.77,12.16,0.9316,0.8688,31.0,0.4739
85b057ea969496e6,Quito,-0.380359,-78.501967,200.0,1021.51,12.02,0.9345,0.7452,31.9,0.4583
896bcf7266886fa4,Quito,-0.244676,-78.533888,2828.2,989.01,12.83,0.9209,0.935,55.0,0.4402
